app_id	app_title	rating	price	no_of_ratings	size	in_app_products	installs	ratings_distribution_5	ratings_distribution_4	ratings_distribution_3	ratings_distribution_2	ratings_distribution_1	is_editors_choice	genre	age_rating	app_url
grant.aac.player	AAC Player	2.8	0	31	3.4M	nan	10,000+	12	1	2	2	14	0	Music & Audio	Everyone	https://play.google.com/store/apps/details?id=grant.aac.player
com.apponly.adddot	Set Dot	4.2	0	19,399	4.9M	nan	1,000,000+	11,502	3,550	2,280	585	1,484	0	Trivia	Everyone	https://play.google.com/store/apps/details?id=com.apponly.adddot
com.tpvapps.simpledrumsrock	Simple Drums Rock - Realistic Drum Set	4.4	0	75,423	10M	$1.99 per item	10,000,000+	52,576	9,184	6,773	2,088	4,932	0	Music	Everyone	https://play.google.com/store/apps/details?id=com.tpvapps.simpledrumsrock
com.supersuperstar.yuudee.vue	Yuudee AAC	nan	0	3	81M	nan	500+	0	0	0	0	0	0	Parenting	Everyone	https://play.google.com/store/apps/details?id=com.supersuperstar.yuudee.vue
com.silentlexx.ffmpeggui	FFmpeg Media Encoder	4.1	0	1,016	17M	$0.99 per item	100,000+	595	182	98	45	97	0	Video Players & Editors	Everyone	https://play.google.com/store/apps/details?id=com.silentlexx.ffmpeggui
com.ichano.athome.avs	AtHome Video Streamer — security monitor camera	4.3	0	13,524	35M	nan	1,000,000+	9,256	1,863	876	408	1,136	0	Tools	Everyone	https://play.google.com/store/apps/details?id=com.ichano.athome.avs
com.anydroid.apps.share	Apps Share	4.2	0	4,298	3.8M	nan	1,000,000+	3,069	357	252	77	543	0	Tools	Everyone	https://play.google.com/store/apps/details?id=com.anydroid.apps.share
com.gappstudios.autowifi3gdataswitch.san.basicpdfviewer	PDF Reader	4.2	0	23,687	2.3M	nan	1,000,000+	14,026	4,168	2,778	720	2,070	0	Tools	Everyone	https://play.google.com/store/apps/details?id=com.gappstudios.autowifi3gdataswitch.san.basicpdfviewer
com.thewahapps.islamicbooks.inUrdu	islamic books in urdu	5.0	0	2	3.3M	nan	1,000+	2	0	0	0	0	0	Lifestyle	Everyone	https://play.google.com/store/apps/details?id=com.thewahapps.islamicbooks.inUrdu
com.audials	Radio Player, MP3-Recorder by Audials	4.4	0	27,215	Varies with device	nan	1,000,000+	18,108	5,330	1,534	791	1,458	0	Music & Audio	Teen	https://play.google.com/store/apps/details?id=com.audials
com.workday.workdroidapp	Workday	3.9	0	21,795	63M	nan	1,000,000+	12,091	3,884	1,656	994	3,255	0	Business	Everyone	https://play.google.com/store/apps/details?id=com.workday.workdroidapp
com.aa.generaladaptiveapps	aa	4.2	0	892,756	6.5M	$0.99 - $4.15 per item	50,000,000+	572,972	130,969	71,663	32,252	84,944	0	Strategy	Everyone	https://play.google.com/store/apps/details?id=com.aa.generaladaptiveapps
com.fv.womenabaya	Women Abaya Fashion	3.3	0	14	2.6M	nan	1,000+	6	2	0	2	4	0	Lifestyle	Everyone	https://play.google.com/store/apps/details?id=com.fv.womenabaya
com.isspreadtoktikvideo.spoos	Funny Videos For Tik Tok Musically	4.2	0	434	4.3M	nan	100,000+	303	41	23	22	54	0	Entertainment	Teen	https://play.google.com/store/apps/details?id=com.isspreadtoktikvideo.spoos
com.sahibtibba.igranthgurbanishare	iGranth Gurbani Share	4.8	0	72	88M	$3.99 per item	10,000+	61	10	0	0	1	0	Education	Everyone	https://play.google.com/store/apps/details?id=com.sahibtibba.igranthgurbanishare
com.TWCableTV	Spectrum TV	3.4	0	53,258	Varies with device	nan	5,000,000+	22,951	6,910	5,102	4,463	13,856	0	Entertainment	Teen	https://play.google.com/store/apps/details?id=com.TWCableTV
musicplayer.musicapps.music.mp3player	Music Player - MP3 Player, Audio Player	4.7	0	107,019	12M	$0.99 - $6.99 per item	5,000,000+	92,072	8,345	2,711	991	3,174	0	Music & Audio	Everyone	https://play.google.com/store/apps/details?id=musicplayer.musicapps.music.mp3player
mp3.converter.video.converter	Video To MP3 Converter	4.5	0	14,250	Varies with device	nan	500,000+	10,068	2,569	717	217	688	0	Video Players & Editors	Everyone	https://play.google.com/store/apps/details?id=mp3.converter.video.converter
